	value	group
A1	0.003325	H
A10	0.002684	H
A11	0.002804	H
A12	0.002805	H
A13	0.002893	H
A14	0.004027	H
A15	0.003445	H
A16	0.003537864	H
A17	0.003542477	H
A18	0.003543605	H
A19	0.003561	H
A2	0.003337	H
A20	0.003580524	H
A21	0.003659762	H
A22	0.002587	H
A23	0.004543605	H
A24	0.004580524	H
A25	0.003896	H
A26	0.003968	H
A27	0.003207	H
A28	0.003217	H
A29	0.003328	H
A3	0.003371	H
A30	0.004491488	H
A31	0.004537864	H
A32	0.004561	H
A33	0.004596546	H
A34	0.004597852	H
A35	0.003984	H
A36	0.003991	H
A37	0.004317	H
A38	0.00926	H
A39	0.0048344	H
A4	0.004404	H
A40	0.0052321	H
A41	0.0058413	H
A42	0.00286885	H
A43	0.001271873	C
A44	0.001640675	C
A45	0.001176935	C
A46	0.000669472	C
A47	0.002803	C
A48	0.002647	C
A49	0.002569	C
A5	0.003415	H
A50	0.002442	C
A51	0.002211	C
A52	0.00219	C
A53	0.002801	C
A54	0.002782	C
A55	0.002282	C
A56	0.002223	C
A57	0.002158	C
A58	0.00195	C
A59	0.001835	C
A6	0.002582	H
A60	0.001753	C
A61	0.001732	C
A62	0.00172	C
A63	0.001658	C
A64	0.001617	C
A65	0.001599	C
A66	0.001561	C
A67	0.001474	C
A68	0.001431	C
A69	0.001236	C
A7	0.002599	H
A70	0.001031	C
A71	0.000964	C
A72	0.000836	C
A73	0.000835	C
A74	0.000827	C
A75	0.000505	C
A76	0.000478	C
A77	0.000442	C
A78	0.000353	C
A79	0.00031	C
A8	0.002658	H
A80	0.00143	C
A81	0.001112	C
A82	0.00127	C
A83	0.001865	C
A84	0.001761	C
A85	0.001995	C
A86	0.002561	C
A87	0.001174	C
A88	0.001481	C
A89	0.002136	C
A9	0.003682519	H
A90	0.001931	C
A91	0.000984	C
A92	0.000856	C
A93	0.000859	C
A94	0.00077	C
A95	0.000605	C
B1	0.002635	H
B10	0.0020432	C
B2	0.00487	H
B3	0.005262	H
B4	0.00328	H
B5	0.004622	H
B6	0.0011383	C
B7	0.0007744	C
B8	0.002703	C
B9	0.0018171	C
C1	0.004608973	H
C10	0.005841326	H
C2	0.004128642	H
C3	0.004043387	H
C4	0.003905134	H
C5	0.004834351	H
C6	0.00680433	H
C7	0.003984667	H
C8	0.005232084	H
C9	0.002623276	H
D1	0.005122	H
D10	0.004561	H
D11	0.000642276	C
D12	0.00446	H
D13	0.004061	H
D14	0.004609826	H
D15	0.003488	H
D16	0.008156184	H
D17	0.00207006	C
D18	0.003261168	H
D19	0.00127609	C
D2	0.000875849	C
D20	0.000813567	C
D21	0.001070369	C
D22	0.00204244	H
D23	0.003927314	H
D24	0.003080419	H
D25	0.002625326	H
D26	0.002102675	C
D27	0.003306781	H
D28	0.001981428	C
D29	0.002035768	C
D3	0.001623186	C
D30	0.001142397	C
D31	0.003335	H
D32	0.003535391	H
D33	0.00063204	C
D34	0.001762825	C
D35	0.002695231	H
D36	0.004296939	H
D37	0.002880665	H
D38	0.001198413	C
D39	0.000601487	C
D4	0.001880665	H
D40	0.001683896	C
D41	0.003178617	C
D42	0.003046415	C
D43	0.001167674	C
D44	0.003956699	H
D45	0.00130771	C
D46	0.00337187	C
D47	0.001307222	C
D48	0.00159568	C
D49	0.003485412	H
D5	0.00325826	H
D51	0.003125305	C
D52	0.000809632	C
D53	0.00210692	C
D54	0.004120136	H
D55	0.003064749	H
D56	0.003369222	H
D57	0.002708115	C
D58	0.001379478	C
D6	0.000280103	C
D7	0.000621641	C
D8	0.003821905	C
D9	0.002653013	C
